Date,SP500,DAX,MCX,SSEC,N225
2015-08-03,"2,098.04","11,443.72","1,663.74","3,622.91","20,548.11"
2015-08-04,"2,093.32","11,456.07","1,674.46","3,756.54","20,520.36"
2015-08-05,"2,099.84","11,636.30","1,693.07","3,694.57","20,614.06"
2015-08-06,"2,083.56","11,585.10","1,675.71","3,661.54","20,664.44"
2015-08-07,"2,077.57","11,490.83","1,690.44","3,744.20","20,724.56"
2015-08-10,2104.18,11604.78,1702.02,3928.42,20808.69
2015-08-11,2084.07,11293.65,1697.87,3927.91,20720.75
2015-08-12,2086.05,10924.61,1697.65,3886.32,20392.77
2015-08-13,2083.39,11014.63,1704.11,3954.56,20595.55
2015-08-14,2091.54,10985.14,1712.47,3965.33,20519.45
2015-08-15,NA,NA,NA,NA,NA
2015-08-16,NA,NA,NA,NA,NA
2015-08-17,2102.44,10940.33,1707.95,3993.67,20620.26
2015-08-18,2096.92,10915.92,1691.24,3748.16,20554.47
2015-08-19,2079.61,10682.15,1673.86,3794.11,20222.63
2015-08-20,2035.73,10432.19,1695.57,3664.29,20033.52
2015-08-21,1970.89,10124.52,1663.31,3507.74,19435.83
2015-08-22,NA,NA,NA,NA,NA
2015-08-23,NA,NA,NA,NA,NA
2015-08-24,1893.21,9648.43,1634.14,3209.91,18540.68
2015-08-25,1867.61,10128.12,1658.13,2964.97,17806.7
2015-08-26,1940.51,9997.43,1660.95,2927.29,18376.83
2015-08-27,1987.66,10315.62,1695.22,3083.59,18574.44
2015-08-28,1988.87,10298.53,1719.16,3232.35,19136.32
2015-08-29,NA,NA,NA,NA,NA
2015-08-30,NA,NA,NA,NA,NA
2015-08-31,1972.18,10259.46,1733.17,3205.99,18890.48
2015-09-01,1913.85,10015.57,1697.99,3166.62,18165.69
2015-09-02,1948.86,10048.05,1690.82,3160.17,18095.4
2015-09-03,1951.13,10317.84,1710.57,NA,18182.39
2015-09-04,1921.22,10038.04,1698.16,NA,17792.16
2015-09-05,NA,NA,NA,NA,NA
2015-09-06,NA,NA,NA,NA,NA
2015-09-07,NA,10108.61,1701.18,3080.42,17860.47
2015-09-08,1969.41,10271.36,1714.18,3170.45,17427.08
2015-09-09,1942.04,10303.12,1722.43,3243.09,18770.51
2015-09-10,1952.29,10210.44,1718.9,3197.89,18299.62
2015-09-11,1961.05,10123.56,1718.06,3200.23,18264.22
2015-09-12,NA,NA,NA,NA,NA
2015-09-13,NA,NA,NA,NA,NA
2015-09-14,1953.03,10131.74,1729.75,3114.8,17965.7
2015-09-15,1978.09,10188.13,1716.26,3005.17,18026.48
2015-09-16,1995.31,10227.21,1731.81,3152.26,18171.6
2015-09-17,1990.2,10229.58,1729.2,3086.06,18432.27
2015-09-18,1958.03,9916.16,1710.84,3097.92,18070.21
2015-09-19,NA,NA,NA,NA,NA
2015-09-20,NA,NA,NA,NA,NA
2015-09-21,1966.97,9948.51,1699.72,3156.54,NA
2015-09-22,1942.74,9570.66,1664.25,3185.62,NA
2015-09-23,1938.76,9612.62,1640.7,3115.89,NA
2015-09-24,1932.24,9427.64,1621.43,3142.69,17571.83
2015-09-25,1931.34,9688.53,1639.64,3092.35,17880.51
2015-09-26,NA,NA,NA,NA,NA
2015-09-27,NA,NA,NA,NA,NA
2015-09-28,1881.77,9483.55,1616.36,3100.76,17645.11
2015-09-29,1884.09,9450.4,1630.51,3038.14,16930.84
2015-09-30,1920.03,9660.44,1642.97,3052.78,17388.15
2015-10-01,1923.82,9509.25,1626.97,NA,17722.42
2015-10-02,1951.36,9553.07,1612.56,NA,17725.13
2015-10-03,NA,NA,NA,NA,NA
2015-10-04,NA,NA,NA,NA,NA
2015-10-05,1987.05,9814.79,1652.47,NA,18005.49
2015-10-06,1979.92,9902.83,1670.69,NA,18186.1
2015-10-07,1995.83,9970.4,1679.49,NA,18322.98
2015-10-08,2013.43,9993.07,1689.32,3143.36,18141.17
2015-10-09,2014.89,10096.6,1728.44,3183.15,18438.67
2015-10-10,NA,NA,NA,NA,NA
2015-10-11,NA,NA,NA,NA,NA
2015-10-12,2017.46,10119.83,1710.6,3287.66,NA
2015-10-13,2003.69,10032.82,1720.81,3293.23,18234.74
2015-10-14,1994.24,9915.85,1723.01,3262.44,17891
2015-10-15,2023.86,10064.8,1731.91,3338.07,18096.9
2015-10-16,2033.11,10104.43,1717,3391.35,18291.8
2015-10-17,NA,NA,NA,NA,NA
2015-10-18,NA,NA,NA,NA,NA
2015-10-19,2033.66,10164.31,1716.08,3386.7,18131.23
2015-10-20,2030.77,10147.68,1722.62,3425.33,18207.15
2015-10-21,2018.94,10238.1,1709.94,3320.68,18554.28
2015-10-22,2052.51,10491.97,1712.1,3368.74,18435.87
2015-10-23,2075.15,10794.54,1725.45,3412.43,18825.3
2015-10-24,NA,NA,NA,NA,NA
2015-10-25,NA,NA,NA,NA,NA
2015-10-26,2071.18,10801.34,1712.13,3429.58,18947.12
2015-10-27,2065.89,10692.19,1725.89,3434.34,18777.04
2015-10-28,2090.35,10831.96,1726.61,3375.2,18903.02
2015-10-29,2089.41,10800.84,1708.6,3387.32,18935.71
2015-10-30,2079.36,10850.14,1711.53,3382.56,19083.1
2015-10-31,NA,NA,NA,NA,NA
2015-11-01,NA,NA,NA,NA,NA
2015-11-02,2104.05,10950.67,1735.75,3325.08,18683.24
2015-11-03,2109.79,10951.15,1763.6,3316.7,NA
2015-11-04,2102.31,10845.24,NA,3459.64,18926.91
2015-11-05,2099.93,10887.74,1766.28,3522.82,19116.41
2015-11-06,2099.2,10988.03,1754.36,3590.03,19265.6
2015-11-07,NA,NA,NA,NA,NA
2015-11-08,NA,NA,NA,NA,NA
2015-11-09,2078.58,10815.45,1751.44,3646.88,19642.74
2015-11-10,2081.72,10832.52,1746.94,3640.49,19671.26
2015-11-11,2075,10907.87,1740.56,3650.25,19691.39
2015-11-12,2045.97,10782.63,1739.96,3632.9,19697.77
2015-11-13,2023.04,10708.4,1728.17,3580.84,19596.91
2015-11-14,NA,NA,NA,NA,NA
2015-11-15,NA,NA,NA,NA,NA
2015-11-16,2053.19,10713.23,1739.8,3606.96,19393.69
2015-11-17,2050.44,10971.04,1787.23,3604.8,19630.63
2015-11-18,2083.58,10959.95,1810.48,3568.47,19649.18
2015-11-19,2081.24,11085.44,1811.2,3617.06,19859.81
2015-11-20,2089.17,11119.83,1826.72,3630.5,19879.81
2015-11-21,NA,NA,NA,NA,NA
2015-11-22,NA,NA,NA,NA,NA
2015-11-23,2086.59,11092.31,1868.07,3610.31,NA
2015-11-24,2089.14,10933.99,1810.05,3616.11,19924.89
2015-11-25,2088.87,11169.54,1833.53,3647.93,19847.58
2015-11-26,NA,11320.77,1828.3,3635.55,19944.41
2015-11-27,2090.11,11293.76,1795.7,3436.3,19883.94
2015-11-28,NA,NA,NA,NA,NA
2015-11-29,NA,NA,NA,NA,NA
2015-11-30,2080.41,11382.23,1771.05,3445.4,19747.47
2015-12-01,2102.63,11261.24,1772.97,3456.31,20012.4
2015-12-02,2079.51,11190.02,1770.13,3536.91,19938.13
2015-12-03,2049.62,10789.24,1787.23,3584.82,19939.9
2015-12-04,2091.69,10752.1,1755.22,3524.99,19504.48
2015-12-05,NA,NA,NA,NA,NA
2015-12-06,NA,NA,NA,NA,NA
2015-12-07,2077.07,10886.09,1741.14,3536.93,19698.15
2015-12-08,2063.59,10673.6,1718.77,3470.07,19492.6
2015-12-09,2047.62,10592.49,1733.09,3472.44,19301.07
2015-12-10,2052.23,10598.93,1732.89,3455.5,19046.55
2015-12-11,2012.37,10340.06,1720.31,3434.58,19230.48
2015-12-12,NA,NA,NA,NA,NA
2015-12-13,NA,NA,NA,NA,NA
2015-12-14,2021.94,10139.34,1708.7,3520.67,18883.42
2015-12-15,2043.41,10450.38,1742.46,3510.35,18565.9
2015-12-16,2073.07,10469.26,1754.71,3516.19,19049.91
2015-12-17,2041.89,10738.12,1780.97,3580,19353.56
2015-12-18,2005.55,10608.19,1719.16,3578.96,18986.8
2015-12-19,NA,NA,NA,NA,NA
2015-12-20,NA,NA,NA,NA,NA
2015-12-21,2021.15,10497.77,1716.91,3642.47,18916.02
2015-12-22,2038.97,10488.75,1723.35,3651.77,18886.7
2015-12-23,2064.29,10727.64,1747.85,3636.09,NA
2015-12-24,2060.99,NA,1742.71,3612.49,18789.69
2015-12-25,NA,NA,1734.21,3627.91,18769.06
2015-12-26,NA,NA,NA,NA,NA
2015-12-27,NA,NA,NA,NA,NA
2015-12-28,2056.5,10653.91,1731.2,3533.78,18873.35
2015-12-29,2078.36,10860.14,1763.38,3563.74,18982.23
2015-12-30,2063.36,10743.01,1761.36,3572.88,19033.71
2015-12-31,2043.94,NA,NA,3539.18,NA
2016-01-01,NA,NA,NA,NA,NA
2016-01-02,NA,NA,NA,NA,NA
2016-01-03,NA,NA,NA,NA,NA
2016-01-04,2012.66,10283.44,1734.56,3296.26,18450.98
2016-01-05,2016.71,10310.1,1754.13,3287.71,18374
2016-01-06,1990.26,10214.02,1748.57,3361.84,18191.32
2016-01-07,1943.09,9979.85,NA,3125,17767.34
2016-01-08,1922.03,9849.34,NA,3186.41,17697.96
2016-01-09,NA,NA,NA,NA,NA
2016-01-10,NA,NA,NA,NA,NA
2016-01-11,1923.67,9825.07,1682.54,3016.7,NA
2016-01-12,1938.68,9985.43,1690.3,3022.86,17218.96
2016-01-13,1890.28,9960.96,1684.78,2949.6,17715.63
2016-01-14,1921.84,9794.2,1680.77,3007.65,17240.95
2016-01-15,1880.33,9545.27,1608.36,2900.97,17147.11
2016-01-16,NA,NA,NA,NA,NA
2016-01-17,NA,NA,NA,NA,NA
2016-01-18,NA,9521.85,1622.43,2913.84,16955.57
2016-01-19,1881.33,9664.21,1645.56,3007.74,17048.37
2016-01-20,1859.33,9391.64,1630.39,2976.69,16416.19
2016-01-21,1868.99,9574.16,1677.19,2880.48,16017.26
2016-01-22,1906.9,9764.88,1717.98,2916.56,16958.53
2016-01-23,NA,NA,NA,NA,NA
2016-01-24,NA,NA,NA,NA,NA
2016-01-25,1877.08,9736.15,1716.56,2938.51,17110.91
2016-01-26,1903.63,9822.75,1705.01,2749.79,16708.9
2016-01-27,1882.95,9880.82,1747.57,2735.56,17163.92
2016-01-28,1893.36,9639.59,1771.93,2655.66,17041.45
2016-01-29,1940.24,9798.11,1784.92,2737.6,17518.3
2016-01-30,NA,NA,NA,NA,NA
2016-01-31,NA,NA,NA,NA,NA
2016-02-01,1939.38,9757.88,1773.21,2688.85,17865.23
2016-02-02,1903.03,9581.04,1758.26,2749.57,17750.68
2016-02-03,1912.53,9434.82,1746.35,2739.25,17191.25
2016-02-04,1915.45,9393.36,1787.93,2781.02,17044.99
2016-02-05,1880.05,9286.23,1780.59,2763.49,16819.59
2016-02-06,NA,NA,NA,NA,NA
2016-02-07,NA,NA,NA,NA,NA
2016-02-08,1853.44,8979.36,1744.27,NA,17004.3
2016-02-09,1852.21,8879.4,1723.36,NA,16085.44
2016-02-10,1851.86,9017.29,1730.83,NA,15713.39
2016-02-11,1829.08,8752.87,1711.58,NA,NA
2016-02-12,1864.78,8967.51,1726.04,NA,14952.61
2016-02-13,NA,NA,NA,NA,NA
2016-02-14,NA,NA,NA,NA,NA
2016-02-15,NA,9206.84,1738.54,2746.2,16022.58
2016-02-16,1895.58,9135.11,1753.86,2836.57,16054.43
2016-02-17,1926.82,9377.21,1770.31,2867.34,15836.36
2016-02-18,1917.83,9463.64,1807.21,2862.89,16196.8
2016-02-19,1917.78,9388.05,1793.37,2860.02,15967.17
2016-02-20,NA,NA,1790.15,NA,NA
2016-02-21,NA,NA,NA,NA,NA
2016-02-22,1945.5,9573.59,1822.38,2927.18,16111.05
2016-02-23,1921.27,9416.77,NA,2903.33,16052.05
2016-02-24,1929.8,9167.8,1797.27,2928.9,15915.79
2016-02-25,1951.7,9331.48,1803.89,2741.25,16140.34
2016-02-26,1948.05,9513.3,1816.73,2767.21,16188.41
2016-02-27,NA,NA,NA,NA,NA
2016-02-28,NA,NA,NA,NA,NA
2016-02-29,1932.23,9495.4,1840.17,2687.98,16026.76
2016-03-01,1978.35,9717.16,1844.17,2733.17,16085.51
2016-03-02,1986.45,9776.62,1832.84,2849.68,16746.55
2016-03-03,1993.4,9751.92,1858.69,2859.76,16960.16
2016-03-04,1999.99,9824.17,1878.29,2874.15,17014.78
2016-03-05,NA,NA,NA,NA,NA
2016-03-06,NA,NA,NA,NA,NA
2016-03-07,2001.76,9778.93,1909.57,2897.34,16911.32
2016-03-08,1979.26,9692.82,NA,2901.39,16783.15
2016-03-09,1989.26,9723.09,1883,2862.56,16642.2
2016-03-10,1989.57,9498.15,1884.63,2804.73,16852.35
2016-03-11,2022.19,9831.13,1876.54,2810.31,16938.87
2016-03-12,NA,NA,NA,NA,NA
2016-03-13,NA,NA,NA,NA,NA
2016-03-14,2019.64,9990.26,1865.31,2859.5,17233.75
2016-03-15,2015.93,9933.85,1855.06,2864.37,17117.07
2016-03-16,2027.22,9983.41,1871.2,2870.43,16974.45
2016-03-17,2040.59,9892.2,1890.79,2904.83,16936.38
2016-03-18,2049.58,9950.8,1914.02,2955.15,16724.81
2016-03-19,NA,NA,NA,NA,NA
2016-03-20,NA,NA,NA,NA,NA
2016-03-21,2051.6,9948.64,1904.5,3018.8,NA
2016-03-22,2049.8,9990,1903.47,2999.36,17048.55
2016-03-23,2036.71,10022.93,1879.89,3009.96,17000.98
2016-03-24,2035.94,9851.35,1866.67,2960.97,16892.33
2016-03-25,NA,NA,1866.23,2979.43,17002.75
2016-03-26,NA,NA,NA,NA,NA
2016-03-27,NA,NA,NA,NA,NA
2016-03-28,2037.05,NA,1849.31,2957.82,17134.37
2016-03-29,2055.01,9887.94,1845.2,2919.83,17103.53
2016-03-30,2063.95,10046.61,1868.1,3000.64,16878.96
2016-03-31,2059.74,9965.51,1871.15,3003.92,16758.67
2016-04-01,2072.78,9794.64,1856.77,3009.53,16164.16
2016-04-02,NA,NA,NA,NA,NA
2016-04-03,NA,NA,NA,NA,NA
2016-04-04,2066.13,9822.08,1866.64,NA,16123.27
2016-04-05,2045.17,9563.36,1857.09,3053.07,15732.82
2016-04-06,2066.66,9624.51,1860.17,3050.59,15715.36
2016-04-07,2041.91,9530.62,1858.85,3008.42,15749.84
2016-04-08,2047.6,9622.26,1877.27,2984.96,15821.52
2016-04-09,NA,NA,NA,NA,NA
2016-04-10,NA,NA,NA,NA,NA
2016-04-11,2041.99,9682.99,1906.9,3033.96,15751.13
2016-04-12,2061.72,9761.47,1899.26,3023.65,15928.79
2016-04-13,2082.42,10026.1,1932.8,3066.64,16381.22
2016-04-14,2082.78,10093.65,1915.85,3082.36,16911.05
2016-04-15,2080.73,10051.57,1907.78,3078.12,16848.03
2016-04-16,NA,NA,NA,NA,NA
2016-04-17,NA,NA,NA,NA,NA
2016-04-18,2094.34,10120.31,1892.64,3033.66,16275.95
2016-04-19,2100.8,10349.59,1930.14,3042.82,16874.44
2016-04-20,2102.4,10421.29,1960.18,2972.58,16906.54
2016-04-21,2091.48,10435.73,1950.08,2952.89,17363.62
2016-04-22,2091.58,10373.49,1967.26,2959.24,17572.49
2016-04-23,NA,NA,NA,NA,NA
2016-04-24,NA,NA,NA,NA,NA
2016-04-25,2087.79,10294.35,1955.47,2946.67,17439.3
2016-04-26,2091.7,10259.59,1946.55,2964.7,17353.28
