Bolge,Gostergeler,Y2005_02,Y2005_03,Y2005_04,Y2005_05,Y2005_06,Y2005_07,Y2005_08,Y2005_09,Y2005_10,Y2005_11,Y2005_12,Y2006_02,Y2006_03,Y2006_04,Y2006_05,Y2006_06,Y2006_07,Y2006_08,Y2006_09,Y2006_10,Y2006_11,Y2006_12,Y2007_02,Y2007_03,Y2007_04,Y2007_05,Y2007_06,Y2007_07,Y2007_08,Y2007_09,Y2007_10,Y2007_11,Y2007_12,Y2008_02,Y2008_03,Y2008_04,Y2008_05,Y2008_06,Y2008_07,Y2008_08,Y2008_09,Y2008_10,Y2008_11,Y2008_12,Y2009_02,Y2009_03,Y2009_04,Y2009_05,Y2009_06,Y2009_07,Y2009_08,Y2009_09,Y2009_10,Y2009_11,Y2009_12,Y2010_02,Y2010_03,Y2010_04,Y2010_05,Y2010_06,Y2010_07,Y2010_08,Y2010_09,Y2010_10,Y2010_11,Y2010_12,Y2011_02,Y2011_03,Y2011_04,Y2011_05,Y2011_06,Y2011_07,Y2011_08,Y2011_09,Y2011_10,Y2011_11,Y2011_12,Y2012_02,Y2012_03,Y2012_04,Y2012_05,Y2012_06,Y2012_07,Y2012_08,Y2012_09,Y2012_10,Y2012_11,Y2012_12,Y2013_02,Y2013_03,Y2013_04,Y2013_05,Y2013_06,Y2013_07,Y2013_08,Y2013_09,Y2013_10,Y2013_11,Y2013_12,Y2014_02,Y2014_03,Y2014_04,Y2014_05,Y2014_06,Y2014_07,Y2014_08,Y2014_09,Y2014_10,Y2014_11,Y2014_12,Y2015_02,Y2015_03,Y2015_04,Y2015_05,Y2015_06,Y2015_07,Y2015_08,Y2015_09,Y2015_10,Y2015_11,Y2015_12,Y2016_02,Y2016_03,Y2016_04,Y2016_05,Y2016_06,Y2016_07,Y2016_08,Y2016_09,Y2016_10,Y2016_11,Y2016_12,Y2017_02,Y2017_03,Y2017_04,Y2017_05,Y2017_06,Y2017_07,Y2017_08,Y2017_09,Y2017_10,Y2017_11,Y2017_12,Y2018_02,Y2018_03,Y2018_04
TR10,Alkollü Ýçecekler Ve Tütün,125.75,126.18,126.3,126.34,126.43,128.87,148.36,148.33,148.37,148.36,155.27,162.2,162.47,162.48,162.47,162.46,162.52,162.52,162.89,162.93,162.95,163.02,166.31,177.47,177.52,177.51,177.58,177.63,177.62,177.63,177.67,188.79,188.83,188.85,189.26,189.29,189.29,189.29,189.44,189.48,189.51,189.52,189.4,189.39,189.68,201.2,201.21,201.29,201.34,220.62,224.86,224.83,225.15,225.07,224.91,284.7,284.82,284.89,284.86,284.82,284.87,284.85,280.78,276.74,278.24,278.39,278.42,278.54,278.53,278.53,278.51,278.53,278.56,278.9,317.13,328.5,328.54,328.64,328.65,328.7,329.15,329.13,329.12,329.14,330.02,331.57,331.58,331.58,382.3,382.26,382.24,382.24,382.23,381.81,381.86,381.89,379.08,376.57,366.49,393.86,393.71,393.88,393.26,393.02,400.84,398.83,394.32,394.33,394.3,394.22,408.74,408.76,408.87,408.93,408.83,413.5,414.97,416.45,416.34,416.34,416.34,460.91,460.98,461.33,461.1,461.09,493.35,510.36,510.42,510.41,510.46,547.66,561.02,561,561.08,561.11,561.07,563.54,563.78,563.85,563.9,563.99,563.93,566.76,566.87,566.93
TR10,Çeþitli Mal Ve Hizmetler,117.72,119.89,120.47,120.95,122.15,121.26,122.73,124.76,126.7,128.11,130.38,133.29,133.01,135.45,139.11,138.36,140.97,141.86,141.71,141.48,141.57,141.91,144.81,145.55,146.31,145.64,145.34,144.61,145.32,145.63,147.5,149.59,149.1,153.69,155.72,157.16,156.35,157.16,157.98,156.58,156.27,160.37,160.09,161.77,169.54,171.63,167.99,168.41,170.28,172.47,173.1,175.77,177.2,178.82,179.15,179.82,181.35,182.12,185.17,184.09,180.39,179.68,181.5,183.28,184.6,188.24,192.14,193.74,194.31,196.9,198.79,200.93,211.55,216.27,214.32,218.13,218.12,222.98,225.08,225.76,226.85,228.71,230.8,232.03,236.54,238.3,238.75,239.1,246.11,247.65,246.21,246.75,247.67,247.26,248.84,250.47,249.92,250.78,251.9,260.12,262.85,263.79,265.88,267.78,268.57,270.67,273.89,275.78,276.36,278.1,283.74,284.85,289.03,289.89,292.26,292.91,296.12,301.85,304.1,303.43,304.23,313.66,315.79,317.29,319.14,319.72,322.37,323.42,324.86,325.28,328.8,330.88,345.95,347.9,354.53,353.13,355.16,356.2,357.5,362.03,365.2,370.14,370.49,385.05,384.66,393.21
TR10,Eðitim,129.12,128.93,128.75,128.8,131.62,132.81,133.15,137.51,138.07,138.39,138.42,138.5,138.62,138.73,139.15,140.47,143.27,144.28,149.8,150.5,150.34,150.39,150.47,150.32,151.15,152.09,153.66,154.74,155.79,162.49,160.43,160.11,160.04,159.9,160.31,160.04,161.92,165.39,166.46,167.49,175.79,176.53,176.55,176.57,176.54,176.87,176.71,178.3,178.64,179.07,179.23,185.39,185.57,185.66,185.62,186.05,187.32,187.34,188.72,188.58,188.92,188.99,192.74,193.07,192.02,191.95,192.26,192.56,193.7,195.85,198.03,198.87,199.39,205.03,205.41,205.46,205.3,204.95,205.36,207.07,209.43,211.16,213.43,215,217.12,217.77,217.85,217.85,217.91,216.98,217.87,221.3,225.14,227.25,230.38,238.3,239.15,238.99,239.03,239.4,239.76,242.94,244.4,247.69,248.81,250.3,257.45,258.39,259.29,259.39,259.27,260.22,262.72,263.29,264.13,266.32,273.37,275.73,278.71,279.29,279.48,279.29,280.88,283.41,286.15,287.39,288.38,298.98,304.92,305.47,305.81,305.68,305.9,309.02,310.77,312.87,315.98,319.38,328.87,338.24,338.94,339.26,339.29,340.41,345.32,347.87
TR10,Eðlence Ve Kültür,119.51,116.78,116.13,121.24,126.75,129.16,131.23,125.92,124.56,122.87,124.23,119.76,119.4,124.89,129.3,135.51,136.6,137.94,139.29,142.95,139.11,142.66,141.89,141.87,142.3,141.27,143.27,143.4,144.28,143.05,143.55,143.57,142.85,141.02,142.71,144.83,146.39,147.72,148.47,148.59,147.74,150.38,153.74,154.92,158.24,157.55,159.01,158.46,158.9,161.56,161.2,164.51,167.97,167.92,165.91,164.27,166.23,165.66,164.12,163.75,163.07,163,165.43,164.56,161.92,162.73,161.42,161.83,162.74,163.83,164.71,165.25,166.64,168.11,169.3,168.79,171.09,172.7,173.41,174.85,175.67,178.34,177.79,178.88,178.3,177.75,176.43,176.23,175.45,176.08,177.55,179.9,184.72,185.73,188.03,187.46,186.37,185.9,187.08,189.56,191.54,192.81,193.73,196.55,201.37,203.72,202.74,200.91,197.67,197.12,201.64,203.89,206.61,210.01,216.15,216.86,221.49,222.21,220.64,219.17,219.21,223.84,223.51,225.22,227.15,227.59,232.75,232.64,230.46,226.36,228.36,231.83,238,241.44,244.34,250.83,250.25,256.17,257.3,254.99,249.77,249.17,249.45,256.6,258.6,263.34
TR10,Gýda Ve Alkolsüz Ýçecekler,116.85,116.6,114.29,115.05,113.07,111.36,110.15,111.4,114.91,118.98,119.15,125.12,126.83,128.38,130.3,127.56,129.79,126.08,129.45,129.44,132.91,133.41,141.01,141.61,143.39,142.3,139.14,136.87,137.71,142.85,147.32,147.11,149.33,161.7,163.13,163.76,164.12,158.18,157.33,156.8,158.64,165.08,165.34,167.28,169.56,176.01,175.65,175.5,171.54,168.93,166.47,167.76,172.27,177.23,181.92,195.49,195.65,196.89,188.15,182.66,180.74,184.16,192.86,202.08,196.47,191.88,201.36,200.25,197.44,206.7,193.52,190.71,192.88,194.43,202.34,209.9,215.39,224.89,224.54,224.96,218.11,210.49,210.85,214.05,218.46,221.74,221.98,226.17,236.65,241.64,239.14,233.77,238.1,237.08,235.48,238.37,249.33,243.72,248.24,260.69,267,270.2,266.88,267.83,267.63,271.27,270.6,277.71,278.97,279.97,298.18,304.75,309.4,300.79,292.01,292.27,295.35,300.17,302.16,305.26,308.26,322.03,315.97,311.77,306.28,308.89,315.14,309.79,308.11,315.15,312.36,323.99,349.64,355.92,359.23,356.01,352.81,351.44,349.75,350.14,355.7,363.47,370.04,382.9,392.39,391.55
TR10,Giyim Ve Ayakkabý,103.29,98.79,107.75,119.33,119.87,107.76,103.6,104.54,112.86,118.53,118.12,99.87,96.49,106.54,120.73,121.69,110.7,101.76,105.04,115.96,120.93,117.77,98.28,99.5,112.81,125.65,127.16,113.51,105.42,109.14,122.69,128.55,125.97,102.21,106.37,118.53,133.3,132.82,116.92,112.78,115.95,126.58,129.17,121.75,104.77,104.94,118.54,133.43,131.95,119.43,114.53,115.78,129.95,135.68,129.41,111.93,113.37,125.84,141.76,141.61,131.19,125.9,125.14,136.65,140.22,136.65,118.74,120.72,134.3,150.27,149.29,138.68,132.98,131.36,143.53,151.57,147.57,129.81,133.22,150.76,162.67,158.08,149.01,144.01,141.94,156.81,164.45,161.38,140.45,143.94,163.63,176.28,171.36,158.54,153.85,158.01,172.12,177.61,170.39,148.11,155.84,177.2,190.91,186.61,177.94,170.49,173.43,192.83,199.3,188.92,160.75,166.4,191.67,207.86,202.1,187.17,178.06,179.4,203.31,212.32,205.45,176.1,176.73,203.47,219.3,214.47,202.63,191.2,188.02,210.21,220.2,215.78,189.34,195.63,214.15,228.83,224.44,214.15,207.31,210.01,237.68,246.92,239.71,217.12,223.67,244.97
TR10,Haberleþme,104.52,104.73,104.55,105.44,104.96,104.82,105.11,105.63,107,106.79,106.53,108.63,107.92,107.8,108.35,109.25,109.46,108.92,108.73,108.59,108.48,108.35,110.47,110.06,109.42,109.21,110.96,109.47,106.06,105.65,105.81,105.77,107.44,108.74,109.17,109.23,109.21,109.97,110.97,111.5,113.07,113.04,113.23,113.84,113.4,112.58,112.89,113.08,114.38,114.57,114.77,114.89,116.26,116.3,117.38,117.23,120.82,115.15,113.67,114.44,114.3,113.24,111.19,110.5,110.86,113.73,115.63,116,114.03,113.54,114.3,114.51,114.42,114.6,115.2,116.25,116.64,116.45,116.16,116.15,115.94,118.12,118.76,118.63,120.35,121.86,122.01,123.78,123.99,124.02,124.23,124.75,124.88,126.02,125.95,126.08,126.07,125.66,125.52,125.29,125.6,125.74,125.62,125.7,128.06,128.25,128.19,128.11,127.97,127.85,130.51,130.44,130.14,129.98,130.02,130.03,131.2,132.1,132.48,132.89,132.67,132.28,132.17,132.5,133.67,134.05,136.14,136.25,136.57,136.5,137.36,137.21,138.17,138.19,138.15,138.91,138.44,138.6,138.68,139.09,139.08,139.39,139.19,138.1,138.21,138.21
TR10,"Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",117.53,119.03,119.81,118.29,119.17,120.64,121.48,123.66,125.35,126.61,127.08,129.42,130.84,131.19,132.07,134.11,136.85,138.8,140.2,142.37,144.87,145.84,148.83,149.58,150.37,151.38,152.42,153.22,154.14,155.23,156.25,169.16,170.21,177.29,177.95,179.3,180.4,183.43,189.84,196,198.44,204.22,213.14,213.36,207.42,208.02,207.21,199.15,199.67,200.04,202.16,204.06,207.5,208.12,208.69,210.48,211.41,211.83,211.92,213.26,213.62,213.77,214.28,214.97,216.37,217.83,216.76,217.81,218.59,219.49,220.82,220.84,221.21,222.26,230.14,232.12,233.32,234.74,235.54,244.85,245.63,246.02,246.28,247.07,248.07,257.27,258.92,259.76,262.22,263.22,264.47,265.27,266.21,267.22,268.16,269.24,270.36,272.35,273.72,276.5,277.71,279.17,280.82,282.18,283.37,284.49,285.96,293.73,295.17,296.03,302.33,303.93,305.81,307.83,309.22,310.34,311.7,313.26,315.49,317.69,318.84,322.38,323.24,325.31,327.18,329.17,330.58,333.15,334.48,332.7,334.84,337.24,344.03,345.91,347.59,350.02,351.51,353.42,355.4,358.1,360.38,363.83,366.62,371.65,373.67,377.89
TR10,Lokanta Ve Oteller,125.6,129.91,131.5,132.75,133.86,134.29,134.92,139.26,144.26,145.89,146,149.18,149.96,151.9,155.35,157.07,157.9,159.15,162.99,166.73,168.35,168.59,171.39,172.87,174.07,175.67,176.21,176.15,177.03,178.34,181.46,183.67,184.76,188.28,191.12,194.58,197.22,198.87,199.95,200.67,203.4,205.27,208.56,208.55,209.83,211.76,212.09,212.81,213.54,213.32,213.47,215.65,217.89,218.25,218.75,221.22,223.99,225.98,227.47,227.32,227.79,229.88,230.78,233.15,235.75,236.42,240.75,242.2,243.19,245.68,247.17,248.58,251.27,253.75,255.81,256.61,256.91,259.8,263.51,267.43,269.59,270.25,271.41,272.72,277.5,279.04,280.82,282.06,287.36,288.4,289.83,293.02,294.06,295.15,297.65,303.54,306.28,309.38,311.11,321.6,327.52,330.67,333.18,334.58,337.53,342.08,345.7,349.34,350.27,351.12,355.66,361.56,368.32,372.2,376.03,380.12,389.02,394.88,396.93,397.66,399.58,406.35,409.27,409.78,411.14,412.52,416.27,418.81,421,424.59,425.87,427.66,434.79,437.97,442.26,445.62,451.15,457.06,461.09,464.44,469.17,471.92,474.76,482.93,488.8,495.61
TR10,"Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",114.74,114.89,115.68,116.46,117.47,117.24,116.63,114.88,116.99,117.89,119.63,119.96,119.37,120,120.59,121.99,125.23,126.88,129.51,130.31,129.48,129.93,131.14,133.99,133.87,136.19,136.79,137.94,137.89,136.16,136.79,137.14,137.63,139.54,141.63,141.99,145.1,146.74,147.73,147.79,148.44,148.88,150.5,150.97,149.91,147.74,144.77,143.84,144.02,145.51,145.6,145.69,149.86,148.99,148.28,148.99,148.53,149.31,149.44,149.86,150.83,150.66,151.58,151.81,152.56,152.89,155.97,157.22,160.15,160.34,161.14,161.35,162.54,164.24,166.66,168.6,168.88,173.28,175.41,177.08,176.24,177.41,176.68,177.91,179.02,179.15,179.13,179.57,183.47,183.48,184.41,184.29,184.99,185.23,185.25,186.82,189.03,189.95,190.57,196.8,199.44,202.9,201.56,202.66,203.84,204.72,205.77,205.74,208.17,207.97,212.71,213.79,217.07,218.43,217.55,221.57,221.42,223.42,226.13,227.48,228.25,233.63,234.71,236.39,235.58,236.56,237.07,237.73,237.96,238.86,238.4,241.04,243.01,245.39,247.54,249.36,250.14,251.63,255.66,255.93,263.6,265.68,268.21,278.03,280.42,286.26
