"Bolge","Gostergeler","Y2005_01","Y2006_01","Y2007_01","Y2008_01","Y2009_01","Y2010_01","Y2011_01","Y2012_01","Y2013_01","Y2014_01","Y2015_01","Y2016_01","Y2017_01","Y2018_01"
"TR10","Alkollü Ýçecekler Ve Tütün",122.62,162.16,162.55,188.81,189.38,274.79,278.4,328.67,379.13,393.9,410.54,456.23,560.5,566.6
"TR10","Çeþitli Mal Ve Hizmetler",118.15,132.04,142.8,151.68,165.85,179.45,190.5,222.92,245.61,257.31,283.38,310.59,340.11,380.92
"TR10","Eðitim",130.03,138.47,150.43,160.08,176.57,185.62,191.98,204.73,217.85,239.23,259.39,279.53,305.89,340.38
"TR10","Eðlence Ve Kültür",119.78,123.73,142.71,140.06,157.99,165.43,162.77,173.09,177.17,188.63,200.75,223.91,236.29,253.52
"TR10","Gýda Ve Alkolsüz Ýçecekler",114.74,120.92,139.1,153.5,169.91,186.34,195.5,219.38,236.22,260.22,291.34,320.79,346.48,375.45
"TR10","Giyim Ve Ayakkabý",114.58,108.43,104.44,108.92,110.33,117.49,122.65,133.52,148.69,155.64,173.05,191.1,194.19,222.3
"TR10","Haberleþme",104.38,108.92,110.38,108.57,114.73,117.09,115.19,116.63,123.79,125.08,129.29,132.73,137.35,137.6
"TR10","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",116.82,127.99,147.59,176.51,213.63,209.96,218.35,233.57,260.98,274.47,300.96,320.44,340.57,369.46
"TR10","Lokanta Ve Oteller",123.12,147.8,170.54,186.88,209.75,220.36,238.77,258.88,285.44,316.87,352.79,403.05,432.75,479.19
"TR10","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",115.1,121.11,130.02,138.08,150.77,149.35,154.47,171.66,181.52,193.42,212.45,232.28,244.97,275.09
"TR10","Saðlýk",113.16,111.54,120.37,121.36,123.63,126.55,127.71,128.12,131.02,140.35,154.79,166.36,185.65,202.48
"TR10","Ulaþtýrma",117.21,127.97,140.76,148.16,150.74,168.8,176.59,198.45,205.88,228.41,232,250.6,288.6,336.47
"TR21","Alkollü Ýçecekler Ve Tütün",121.82,164.44,165.26,192.51,193.66,283.05,290.13,342.34,395.37,412.93,432.89,480.98,589.61,595.97
"TR21","Çeþitli Mal Ve Hizmetler",117.06,135.88,153.98,165.64,191.44,222.75,238.83,276.67,308.59,323.89,354.29,387.01,428.29,470.32
"TR21","Eðitim",126.53,138.33,148.01,158.99,158.48,160.32,164.65,168.83,173.63,187.17,202.01,206.12,225.19,239.04
"TR21","Eðlence Ve Kültür",114.34,118.82,124.11,121.2,131.68,133.86,133.19,143.4,145.91,154.82,162.37,180.34,190.14,204.08
"TR21","Gýda Ve Alkolsüz Ýçecekler",112.76,119.62,133.93,145.54,162.35,176.69,185.86,209.5,226.19,247.14,279.54,302.28,325.1,353.33
"TR21","Giyim Ve Ayakkabý",108.55,113.65,114.64,110.85,117.37,121.11,130.83,141.68,153.27,162.6,169.64,188.76,192.96,231.5
"TR21","Haberleþme",103.18,107.06,108.5,106.88,113.1,115.31,113.91,116.01,122.41,121.9,125.27,128.63,132.81,131.78
"TR21","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",119.5,131.31,149.84,161.33,186.27,200.38,211.18,232.47,258.44,270.26,284.93,307.43,327.99,361.36
"TR21","Lokanta Ve Oteller",131.81,147.06,168.02,177.04,199.64,211.33,233.03,262.29,275.36,309.37,360.75,395.95,429.6,492.63
"TR21","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",111.56,120.02,127.58,134.95,145.26,142.09,145.65,164.15,174.82,185.09,198.11,217.14,230.69,260.86
"TR21","Saðlýk",115.47,116.61,129.05,126.75,130.21,132.99,135.72,136.16,141.1,156.29,169.49,181.98,207.19,225.01
"TR21","Ulaþtýrma",120.01,131.93,144,149.51,150.51,166.66,172.99,195.58,208.85,235.7,238.32,259.05,300.42,348.61
"TR22","Alkollü Ýçecekler Ve Tütün",122.4,163.84,164.9,194.51,195.33,292.23,301.6,359.63,415.52,433.94,456.31,509.56,623.77,629.39
"TR22","Çeþitli Mal Ve Hizmetler",112.87,127.47,142.52,152.5,166.59,183.9,196.04,229.19,252.74,265.32,289.93,326.73,370.9,409.9
"TR22","Eðitim",133,139.08,144.93,160.57,169.91,162.86,164.62,173.01,183.88,193.78,220.28,234.92,268.92,283.47
"TR22","Eðlence Ve Kültür",118.81,122.77,131.36,126.79,140.23,147.5,142.58,151.82,154.96,165.15,181.4,200.79,216.46,228.92
"TR22","Gýda Ve Alkolsüz Ýçecekler",115.38,123.96,136.81,154.49,168.88,185.91,199.72,220.25,236.46,260.79,294.42,325.16,352.29,384.94
"TR22","Giyim Ve Ayakkabý",115.38,109.42,114.79,116.32,119.53,125.04,136.16,146.42,162.55,171.68,189.23,219.71,237.3,268.18
"TR22","Haberleþme",104.14,107.26,107.92,102.83,108.07,110.14,109.45,110.52,117.14,117.59,121.96,125.93,131.15,132.25
"TR22","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",117.43,129.37,144,163.11,189.96,204.01,215.19,232.58,257.37,269.57,286.88,307.51,331.55,361.67
"TR22","Lokanta Ve Oteller",121.91,139.25,155.33,173.46,197.05,205.35,217.68,245.04,264.83,302.07,338.11,381.84,438.82,476.2
"TR22","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",114.6,120.8,129.92,135.77,147.61,147.8,151.36,171.03,179,189.45,207.02,228.63,243.87,278.62
"TR22","Saðlýk",114.85,112.65,121.54,120.52,122.89,124.56,124.39,124.35,125.41,128.46,138.28,155.57,175.67,191.07
"TR22","Ulaþtýrma",115.9,131.38,142.86,152.8,157.3,172.95,180.55,203.79,211.35,236.05,234.63,253.16,291.83,337.34
"TR31","Alkollü Ýçecekler Ve Tütün",123.15,164.03,165.43,191.9,193.48,284,291.52,345.76,399.71,417.08,437.4,487.11,597.59,606.57
"TR31","Çeþitli Mal Ve Hizmetler",110.82,120.65,131.9,138.9,148.24,160.55,167.89,191.35,209.9,221.68,242.57,273.21,309.06,349.8
"TR31","Eðitim",136.22,147.48,160.63,167.21,176.41,192.47,193.98,211.3,229.18,258.89,288.06,309.91,336.82,371.45
