"Date","Currency","Dtm","Rate"
2018-07-17,"USD",3,1.995
2018-07-17,"USD",7,1.895
2018-07-17,"USD",14,2.015
2018-07-17,"USD",21,2.16
2018-07-17,"USD",30,2.15
2018-07-17,"USD",60,2.23
2018-07-17,"USD",90,2.4
2018-07-17,"USD",120,2.46
2018-07-17,"USD",150,2.51
2018-07-17,"USD",180,2.57
2018-07-17,"USD",210,2.62
2018-07-17,"USD",240,2.66
2018-07-17,"USD",270,2.71
2018-07-17,"USD",300,2.76
2018-07-17,"USD",330,2.81
2018-07-17,"USD",360,2.83
2018-07-17,"EUR",1,-0.435
2018-07-17,"EUR",2,-0.45
2018-07-17,"EUR",3,-0.45
2018-07-17,"EUR",7,-0.425
2018-07-17,"EUR",14,-0.425
2018-07-17,"EUR",21,-0.37
2018-07-17,"EUR",30,-0.415
2018-07-17,"EUR",60,-0.38
2018-07-17,"EUR",90,-0.33
2018-07-17,"EUR",120,-0.33
2018-07-17,"EUR",150,-0.33
2018-07-17,"EUR",180,-0.32
2018-07-17,"EUR",210,-0.3
2018-07-17,"EUR",240,-0.26
2018-07-17,"EUR",270,-0.26
2018-07-17,"EUR",300,-0.26
2018-07-17,"EUR",330,-0.25
2018-07-17,"EUR",360,-0.225
2018-07-17,"TRY",1,17.5
2018-07-17,"TRY",2,17.3
2018-07-17,"TRY",7,17.4
2018-07-17,"TRY",14,17.6
2018-07-17,"TRY",21,18
2018-07-17,"TRY",30,19
2018-07-17,"TRY",60,18.65
2018-07-17,"TRY",90,19
2018-07-17,"TRY",180,20
2018-07-17,"TRY",270,20.55
2018-07-17,"TRY",360,21.1
2018-07-17,"USD",1,1.995
2018-07-17,"USD",2,2.095
